/home/fonwin/f9utws.block/logs/20190828/omstws.log.TwsNew.g3.txt
Count=100|Abandoned=0|Rejected=0|Sending=100|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
37|20190828053215.202955|20190828053215.203069|20190828053215.203152|114|83
39|20190828053215.202973|20190828053215.203074|20190828053215.203156|101|82|18|5|4
41|20190828053215.202978|20190828053215.203075|20190828053215.203158|97|83|5|1|2
43|20190828053215.202982|20190828053215.203076|20190828053215.203159|94|83|4|1|1
45|20190828053215.202986|20190828053215.203077|20190828053215.203161|91|84|4|1|2
47|20190828053215.202990|20190828053215.203077|20190828053215.203163|87|86|4|0|2
49|20190828053215.202993|20190828053215.203078|20190828053215.203164|85|86|3|1|1
51|20190828053215.202997|20190828053215.203079|20190828053215.203189|82|110|4|1|25
53|20190828053215.203001|20190828053215.203079|20190828053215.203192|78|113|4|0|3
55|20190828053215.203008|20190828053215.203080|20190828053215.203194|72|114|7|1|2
57|20190828053215.203014|20190828053215.203080|20190828053215.203195|66|115|6|0|1
59|20190828053215.203019|20190828053215.203081|20190828053215.203197|62|116|5|1|2
61|20190828053215.203022|20190828053215.203092|20190828053215.203199|70|107|3|11|2
63|20190828053215.203026|20190828053215.203093|20190828053215.203201|67|108|4|1|2
65|20190828053215.203029|20190828053215.203093|20190828053215.203203|64|110|3|0|2
67|20190828053215.203035|20190828053215.203094|20190828053215.203204|59|110|6|1|1
69|20190828053215.203039|20190828053215.203094|20190828053215.203206|55|112|4|0|2
71|20190828053215.203043|20190828053215.203095|20190828053215.203208|52|113|4|1|2
73|20190828053215.203047|20190828053215.203096|20190828053215.203209|49|113|4|1|1
75|20190828053215.203058|20190828053215.203096|20190828053215.203211|38|115|11|0|2
77|20190828053215.203067|20190828053215.203097|20190828053215.203213|30|116|9|1|2
79|20190828053215.203075|20190828053215.203098|20190828053215.203215|23|117|8|1|2
81|20190828053215.203079|20190828053215.203099|20190828053215.203216|20|117|4|1|1
83|20190828053215.203082|20190828053215.203121|20190828053215.203218|39|97|3|22|2
85|20190828053215.203086|20190828053215.203123|20190828053215.203219|37|96|4|2|1
87|20190828053215.203089|20190828053215.203123|20190828053215.203223|34|100|3|0|4
89|20190828053215.203096|20190828053215.203124|20190828053215.203225|28|101|7|1|2
91|20190828053215.203099|20190828053215.203132|20190828053215.203237|33|105|3|8|12
93|20190828053215.203104|20190828053215.203133|20190828053215.203239|29|106|5|1|2
95|20190828053215.203124|20190828053215.203138|20190828053215.203241|14|103|20|5|2
97|20190828053215.203129|20190828053215.203139|20190828053215.203243|10|104|5|1|2
99|20190828053215.203135|20190828053215.203141|20190828053215.203245|6|104|6|2|2
101|20190828053215.203142|20190828053215.203154|20190828053215.203247|12|93|7|13|2
103|20190828053215.203148|20190828053215.203160|20190828053215.203248|12|88|6|6|1
105|20190828053215.203152|20190828053215.203161|20190828053215.203250|9|89|4|1|2
107|20190828053215.203158|20190828053215.203163|20190828053215.203252|5|89|6|2|2
109|20190828053215.203186|20190828053215.203198|20190828053215.203254|12|56|28|35|2
111|20190828053215.203191|20190828053215.203204|20190828053215.203255|13|51|5|6|1
113|20190828053215.203195|20190828053215.203205|20190828053215.203257|10|52|4|1|2
115|20190828053215.203201|20190828053215.203207|20190828053215.203259|6|52|6|2|2
117|20190828053215.203207|20190828053215.203219|20190828053215.203260|12|41|6|12|1
119|20190828053215.203213|20190828053215.203225|20190828053215.203262|12|37|6|6|2
121|20190828053215.203216|20190828053215.203226|20190828053215.203263|10|37|3|1|1
123|20190828053215.203222|20190828053215.203240|20190828053215.203265|18|25|6|14|2
125|20190828053215.203241|20190828053215.203254|20190828053215.203267|13|13|19|14|2
127|20190828053215.203246|20190828053215.203259|20190828053215.203276|13|17|5|5|9
129|20190828053215.203250|20190828053215.203260|20190828053215.203278|10|18|4|1|2
131|20190828053215.203257|20190828053215.203262|20190828053215.203280|5|18|7|2|2
133|20190828053215.203262|20190828053215.203274|20190828053215.203281|12|7|5|12|1
135|20190828053215.203268|20190828053215.203282|20190828053215.203291|14|9|6|8|10
137|20190828053215.203272|20190828053215.203285|20190828053215.203294|13|9|4|3|3
139|20190828053215.203280|20190828053215.203289|20190828053215.203310|9|21|8|4|16
141|20190828053215.203285|20190828053215.203308|20190828053215.203315|23|7|5|19|5
143|20190828053215.203289|20190828053215.203317|20190828053215.203325|28|8|4|9|10
145|20190828053215.203293|20190828053215.203319|20190828053215.203327|26|8|4|2|2
147|20190828053215.203309|20190828053215.203325|20190828053215.203329|16|4|16|6|2
149|20190828053215.203313|20190828053215.203326|20190828053215.203331|13|5|4|1|2
151|20190828053215.203320|20190828053215.203328|20190828053215.203333|8|5|7|2|2
153|20190828053215.203326|20190828053215.203334|20190828053215.203342|8|8|6|6|9
155|20190828053215.203330|20190828053215.203337|20190828053215.203345|7|8|4|3|3
157|20190828053215.203335|20190828053215.203342|20190828053215.203347|7|5|5|5|2
159|20190828053215.203339|20190828053215.203344|20190828053215.203349|5|5|4|2|2
161|20190828053215.203345|20190828053215.203356|20190828053215.203365|11|9|6|12|16
163|20190828053215.203350|20190828053215.203364|20190828053215.203368|14|4|5|8|3
165|20190828053215.203353|20190828053215.203365|20190828053215.203370|12|5|3|1|2
167|20190828053215.203359|20190828053215.203367|20190828053215.203372|8|5|6|2|2
169|20190828053215.203365|20190828053215.203376|20190828053215.203385|11|9|6|9|13
171|20190828053215.203371|20190828053215.203380|20190828053215.203387|9|7|6|4|2
173|20190828053215.203377|20190828053215.203384|20190828053215.203389|7|5|6|4|2
175|20190828053215.203381|20190828053215.203387|20190828053215.203392|6|5|4|3|3
177|20190828053215.203387|20190828053215.203400|20190828053215.203409|13|9|6|13|17
179|20190828053215.203392|20190828053215.203410|20190828053215.203419|18|9|5|10|10
181|20190828053215.203396|20190828053215.203412|20190828053215.203421|16|9|4|2|2
183|20190828053215.203403|20190828053215.203418|20190828053215.203424|15|6|7|6|3
185|20190828053215.203407|20190828053215.203419|20190828053215.203426|12|7|4|1|2
187|20190828053215.203413|20190828053215.203421|20190828053215.203428|8|7|6|2|2
189|20190828053215.203419|20190828053215.203427|20190828053215.203430|8|3|6|6|2
191|20190828053215.203423|20190828053215.203429|20190828053215.203432|6|3|4|2|2
193|20190828053215.203429|20190828053215.203439|20190828053215.203447|10|8|6|10|15
195|20190828053215.203434|20190828053215.203445|20190828053215.203449|11|4|5|6|2
197|20190828053215.203437|20190828053215.203446|20190828053215.203451|9|5|3|1|2
199|20190828053215.203443|20190828053215.203449|20190828053215.203453|6|4|6|3|2
201|20190828053215.203449|20190828053215.203469|20190828053215.203478|20|9|6|20|25
203|20190828053215.203454|20190828053215.203472|20190828053215.203481|18|9|5|3|3
205|20190828053215.203457|20190828053215.203472|20190828053215.203483|15|11|3|0|2
207|20190828053215.203460|20190828053215.203478|20190828053215.203498|18|20|3|6|15
209|20190828053215.203464|20190828053215.203479|20190828053215.203500|15|21|4|1|2
211|20190828053215.203472|20190828053215.203480|20190828053215.203502|8|22|8|1|2
213|20190828053215.203475|20190828053215.203482|20190828053215.203504|7|22|3|2|2
215|20190828053215.203482|20190828053215.203503|20190828053215.203510|21|7|7|21|6
217|20190828053215.203495|20190828053215.203513|20190828053215.203520|18|7|13|10|10
219|20190828053215.203500|20190828053215.203515|20190828053215.203522|15|7|5|2|2
221|20190828053215.203506|20190828053215.203521|20190828053215.203525|15|4|6|6|3
223|20190828053215.203510|20190828053215.203522|20190828053215.203527|12|5|4|1|2
225|20190828053215.203517|20190828053215.203524|20190828053215.203530|7|6|7|2|3
227|20190828053215.203523|20190828053215.203529|20190828053215.203532|6|3|6|5|2
229|20190828053215.203527|20190828053215.203531|20190828053215.203534|4|3|4|2|2
231|20190828053215.203532|20190828053215.203544|20190828053215.203552|12|8|5|13|18
233|20190828053215.203537|20190828053215.203546|20190828053215.203555|9|9|5|2|3
235|20190828053215.203541|20190828053215.203549|20190828053215.203557|8|8|4|3|2
Spend(us)|586|480|405
Avg(us)|5.86|4.8|4.05
T1-T0|50%=13|75%=30|90%=72|99%=114|99.9%=114|99.99%=114|Worst=97|101|114|
T2-T1|50%=18|75%=96|90%=113|99%=117|99.9%=117|99.99%=117|Worst=116|117|117|
T0-|50%=5|75%=6|90%=8|99%=28|99.9%=28|99.99%=28|Worst=19|20|28|
T1-|50%=2|75%=6|90%=13|99%=35|99.9%=35|99.99%=35|Worst=21|22|35|
T2-|50%=2|75%=3|90%=12|99%=25|99.9%=25|99.99%=25|Worst=18|25|25|
