/home/fonwin/f9utws.block/logs/20190828/omstws.log.TwsNew.g5.txt
Count=10000|Abandoned=0|Rejected=0|Sending=10000|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
3337|20190828053234.220837|20190828053234.220950|20190828053234.221034|113|84
3339|20190828053234.220855|20190828053234.220956|20190828053234.221037|101|81|18|6|3
3341|20190828053234.220861|20190828053234.220957|20190828053234.221039|96|82|6|1|2
3343|20190828053234.220865|20190828053234.220958|20190828053234.221041|93|83|4|1|2
3345|20190828053234.220870|20190828053234.220958|20190828053234.221044|88|86|5|0|3
3347|20190828053234.220873|20190828053234.220959|20190828053234.221067|86|108|3|1|23
3349|20190828053234.220877|20190828053234.220960|20190828053234.221068|83|108|4|1|1
3351|20190828053234.220881|20190828053234.220960|20190828053234.221073|79|113|4|0|5
3353|20190828053234.220885|20190828053234.220961|20190828053234.221075|76|114|4|1|2
3355|20190828053234.220892|20190828053234.220962|20190828053234.221077|70|115|7|1|2
3357|20190828053234.220898|20190828053234.220962|20190828053234.221079|64|117|6|0|2
3359|20190828053234.220903|20190828053234.220974|20190828053234.221081|71|107|5|12|2
3361|20190828053234.220907|20190828053234.220975|20190828053234.221083|68|108|4|1|2
3363|20190828053234.220911|20190828053234.220976|20190828053234.221084|65|108|4|1|1
3365|20190828053234.220916|20190828053234.220976|20190828053234.221086|60|110|5|0|2
3367|20190828053234.220919|20190828053234.220977|20190828053234.221088|58|111|3|1|2
3369|20190828053234.220924|20190828053234.220978|20190828053234.221090|54|112|5|1|2
3371|20190828053234.220928|20190828053234.220978|20190828053234.221091|50|113|4|0|1
3373|20190828053234.220940|20190828053234.220979|20190828053234.221093|39|114|12|1|2
3375|20190828053234.220949|20190828053234.220980|20190828053234.221095|31|115|9|1|2
3377|20190828053234.220956|20190828053234.220980|20190828053234.221096|24|116|7|0|1
3379|20190828053234.220959|20190828053234.220981|20190828053234.221098|22|117|3|1|2
3381|20190828053234.220963|20190828053234.220987|20190828053234.221100|24|113|4|6|2
3383|20190828053234.220967|20190828053234.220988|20190828053234.221102|21|114|4|1|2
3385|20190828053234.220970|20190828053234.220989|20190828053234.221104|19|115|3|1|2
3387|20190828053234.220978|20190828053234.221002|20190828053234.221117|24|115|8|13|13
3389|20190828053234.220981|20190828053234.221009|20190828053234.221120|28|111|3|7|3
3391|20190828053234.220985|20190828053234.221010|20190828053234.221122|25|112|4|1|2
3393|20190828053234.221002|20190828053234.221014|20190828053234.221124|12|110|17|4|2
3395|20190828053234.221006|20190828053234.221015|20190828053234.221126|9|111|4|1|2
3397|20190828053234.221013|20190828053234.221018|20190828053234.221127|5|109|7|3|1
3399|20190828053234.221019|20190828053234.221033|20190828053234.221129|14|96|6|15|2
3401|20190828053234.221025|20190828053234.221038|20190828053234.221131|13|93|6|5|2
3403|20190828053234.221029|20190828053234.221039|20190828053234.221133|10|94|4|1|2
3405|20190828053234.221036|20190828053234.221041|20190828053234.221135|5|94|7|2|2
3407|20190828053234.221066|20190828053234.221080|20190828053234.221137|14|57|30|39|2
3409|20190828053234.221071|20190828053234.221089|20190828053234.221138|18|49|5|9|1
3411|20190828053234.221076|20190828053234.221090|20190828053234.221140|14|50|5|1|2
3413|20190828053234.221082|20190828053234.221095|20190828053234.221141|13|46|6|5|1
3415|20190828053234.221086|20190828053234.221096|20190828053234.221143|10|47|4|1|2
3417|20190828053234.221092|20190828053234.221098|20190828053234.221145|6|47|6|2|2
3419|20190828053234.221098|20190828053234.221119|20190828053234.221146|21|27|6|21|1
3421|20190828053234.221103|20190828053234.221122|20190828053234.221148|19|26|5|3|2
3423|20190828053234.221121|20190828053234.221134|20190828053234.221169|13|35|18|12|21
3425|20190828053234.221127|20190828053234.221139|20190828053234.221171|12|32|6|5|2
3427|20190828053234.221130|20190828053234.221140|20190828053234.221173|10|33|3|1|2
3429|20190828053234.221137|20190828053234.221142|20190828053234.221175|5|33|7|2|2
