/home/fonwin/f9utws.busy/logs/20190828/omstws.log.TwsNew.g5.txt
Count=10000|Abandoned=0|Rejected=0|Sending=10000|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
3337|20190828052625.772948|20190828052625.773017|20190828052625.773034|69|17
3339|20190828052625.772965|20190828052625.773021|20190828052625.773038|56|17|17|4|4
3341|20190828052625.772979|20190828052625.773022|20190828052625.773040|43|18|14|1|2
3343|20190828052625.772997|20190828052625.773023|20190828052625.773056|26|33|18|1|16
3345|20190828052625.773002|20190828052625.773033|20190828052625.773059|31|26|5|10|3
3347|20190828052625.773005|20190828052625.773034|20190828052625.773061|29|27|3|1|2
3349|20190828052625.773009|20190828052625.773035|20190828052625.773063|26|28|4|1|2
3351|20190828052625.773017|20190828052625.773035|20190828052625.773067|18|32|8|0|4
3353|20190828052625.773021|20190828052625.773036|20190828052625.773069|15|33|4|1|2
3355|20190828052625.773024|20190828052625.773059|20190828052625.773072|35|13|3|23|3
3357|20190828052625.773028|20190828052625.773060|20190828052625.773074|32|14|4|1|2
3359|20190828052625.773036|20190828052625.773065|20190828052625.773076|29|11|8|5|2
3361|20190828052625.773040|20190828052625.773066|20190828052625.773077|26|11|4|1|1
3363|20190828052625.773062|20190828052625.773068|20190828052625.773079|6|11|22|2|2
3365|20190828052625.773070|20190828052625.773082|20190828052625.773085|12|3|8|14|6
3367|20190828052625.773075|20190828052625.773088|20190828052625.773091|13|3|5|6|6
3369|20190828052625.773080|20190828052625.773088|20190828052625.773094|8|6|5|0|3
3371|20190828052625.773086|20190828052625.773091|20190828052625.773095|5|4|6|3|1
3373|20190828052625.773093|20190828052625.773121|20190828052625.773125|28|4|7|30|30
3375|20190828052625.773098|20190828052625.773130|20190828052625.773133|32|3|5|9|8
3377|20190828052625.773102|20190828052625.773131|20190828052625.773135|29|4|4|1|2
3379|20190828052625.773116|20190828052625.773132|20190828052625.773137|16|5|14|1|2
3381|20190828052625.773123|20190828052625.773140|20190828052625.773145|17|5|7|8|8
3383|20190828052625.773127|20190828052625.773141|20190828052625.773147|14|6|4|1|2
3385|20190828052625.773133|20190828052625.773147|20190828052625.773150|14|3|6|6|3
3387|20190828052625.773137|20190828052625.773148|20190828052625.773155|11|7|4|1|5
3389|20190828052625.773143|20190828052625.773150|20190828052625.773157|7|7|6|2|2
3391|20190828052625.773149|20190828052625.773172|20190828052625.773176|23|4|6|22|19
3393|20190828052625.773168|20190828052625.773180|20190828052625.773184|12|4|19|8|8
3395|20190828052625.773176|20190828052625.773187|20190828052625.773191|11|4|8|7|7
3397|20190828052625.773180|20190828052625.773193|20190828052625.773201|13|8|4|6|10
3399|20190828052625.773184|20190828052625.773194|20190828052625.773203|10|9|4|1|2
3401|20190828052625.773191|20190828052625.773196|20190828052625.773206|5|10|7|2|3
3403|20190828052625.773198|20190828052625.773213|20190828052625.773218|15|5|7|17|12
3405|20190828052625.773204|20190828052625.773219|20190828052625.773233|15|14|6|6|15
3407|20190828052625.773208|20190828052625.773220|20190828052625.773235|12|15|4|1|2
3409|20190828052625.773216|20190828052625.773237|20190828052625.773242|21|5|8|17|7
3411|20190828052625.773236|20190828052625.773243|20190828052625.773246|7|3|20|6|4
3413|20190828052625.773240|20190828052625.773245|20190828052625.773249|5|4|4|2|3
3415|20190828052625.773246|20190828052625.773259|20190828052625.773264|13|5|6|14|15
3417|20190828052625.773251|20190828052625.773266|20190828052625.773269|15|3|5|7|5
3419|20190828052625.773255|20190828052625.773267|20190828052625.773271|12|4|4|1|2
3421|20190828052625.773262|20190828052625.773269|20190828052625.773273|7|4|7|2|2
3423|20190828052625.773268|20190828052625.773279|20190828052625.773283|11|4|6|10|10
3425|20190828052625.773273|20190828052625.773284|20190828052625.773289|11|5|5|5|6
3427|20190828052625.773277|20190828052625.773285|20190828052625.773291|8|6|4|1|2
3429|20190828052625.773283|20190828052625.773288|20190828052625.773293|5|5|6|3|2
3431|20190828052625.773288|20190828052625.773300|20190828052625.773304|12|4|5|12|11
3433|20190828052625.773293|20190828052625.773306|20190828052625.773309|13|3|5|6|5
3435|20190828052625.773297|20190828052625.773306|20190828052625.773311|9|5|4|0|2
3437|20190828052625.773303|20190828052625.773309|20190828052625.773313|6|4|6|3|2
3439|20190828052625.773309|20190828052625.773320|20190828052625.773325|11|5|6|11|12
