/home/fonwin/f9utws.busy/logs/20190828/omstws.log.TwsNew.g4.txt
Count=1000|Abandoned=0|Rejected=0|Sending=1000|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
337|20190828052614.339431|20190828052614.339502|20190828052614.339518|71|16
339|20190828052614.339448|20190828052614.339506|20190828052614.339522|58|16|17|4|4
341|20190828052614.339454|20190828052614.339507|20190828052614.339524|53|17|6|1|2
343|20190828052614.339465|20190828052614.339507|20190828052614.339526|42|19|11|0|2
345|20190828052614.339483|20190828052614.339508|20190828052614.339528|25|20|18|1|2
347|20190828052614.339487|20190828052614.339517|20190828052614.339529|30|12|4|9|1
349|20190828052614.339492|20190828052614.339518|20190828052614.339531|26|13|5|1|2
351|20190828052614.339495|20190828052614.339518|20190828052614.339535|23|17|3|0|4
353|20190828052614.339503|20190828052614.339519|20190828052614.339538|16|19|8|1|3
355|20190828052614.339507|20190828052614.339520|20190828052614.339540|13|20|4|1|2
357|20190828052614.339512|20190828052614.339522|20190828052614.339542|10|20|5|2|2
359|20190828052614.339519|20190828052614.339526|20190828052614.339544|7|18|7|4|2
361|20190828052614.339524|20190828052614.339529|20190828052614.339547|5|18|5|3|3
363|20190828052614.339530|20190828052614.339546|20190828052614.339551|16|5|6|17|4
365|20190828052614.339537|20190828052614.339552|20190828052614.339568|15|16|7|6|17
367|20190828052614.339541|20190828052614.339553|20190828052614.339570|12|17|4|1|2
369|20190828052614.339549|20190828052614.339569|20190828052614.339572|20|3|8|16|2
371|20190828052614.339556|20190828052614.339577|20190828052614.339580|21|3|7|8|8
373|20190828052614.339569|20190828052614.339583|20190828052614.339585|14|2|13|6|5
375|20190828052614.339573|20190828052614.339584|20190828052614.339587|11|3|4|1|2
377|20190828052614.339580|20190828052614.339586|20190828052614.339589|6|3|7|2|2
379|20190828052614.339587|20190828052614.339600|20190828052614.339605|13|5|7|14|16
381|20190828052614.339592|20190828052614.339606|20190828052614.339609|14|3|5|6|4
383|20190828052614.339596|20190828052614.339607|20190828052614.339611|11|4|4|1|2
385|20190828052614.339603|20190828052614.339610|20190828052614.339613|7|3|7|3|2
387|20190828052614.339610|20190828052614.339623|20190828052614.339630|13|7|7|13|17
389|20190828052614.339615|20190828052614.339631|20190828052614.339634|16|3|5|8|4
391|20190828052614.339619|20190828052614.339632|20190828052614.339650|13|18|4|1|16
393|20190828052614.339627|20190828052614.339668|20190828052614.339673|41|5|8|36|23
395|20190828052614.339637|20190828052614.339670|20190828052614.339676|33|6|10|2|3
397|20190828052614.339650|20190828052614.339673|20190828052614.339678|23|5|13|3|2
399|20190828052614.339654|20190828052614.339677|20190828052614.339686|23|9|4|4|8
401|20190828052614.339674|20190828052614.339679|20190828052614.339688|5|9|20|2|2
403|20190828052614.339680|20190828052614.339694|20190828052614.339699|14|5|6|15|11
405|20190828052614.339686|20190828052614.339700|20190828052614.339703|14|3|6|6|4
407|20190828052614.339690|20190828052614.339701|20190828052614.339705|11|4|4|1|2
409|20190828052614.339697|20190828052614.339703|20190828052614.339707|6|4|7|2|2
411|20190828052614.339703|20190828052614.339716|20190828052614.339721|13|5|6|13|14
413|20190828052614.339709|20190828052614.339734|20190828052614.339738|25|4|6|18|17
415|20190828052614.339713|20190828052614.339735|20190828052614.339741|22|6|4|1|3
417|20190828052614.339732|20190828052614.339738|20190828052614.339743|6|5|19|3|2
419|20190828052614.339737|20190828052614.339751|20190828052614.339756|14|5|5|13|13
421|20190828052614.339743|20190828052614.339757|20190828052614.339760|14|3|6|6|4
